payment_id,subscription_id,payment_date,amount,payment_method
1,1669,2022-07-19,386,Debit Card
2,884,2023-09-14,607,Debit Card
3,302,2022-09-03,530,UPI
4,1373,2022-12-12,513,Credit Card
5,378,2022-09-19,317,UPI
6,533,2023-06-17,573,Net Banking
7,176,2024-04-29,486,Credit Card
8,1383,2022-09-01,551,Net Banking
9,1756,2023-03-22,679,Credit Card
10,2128,2023-12-12,348,Credit Card
11,528,2023-03-13,698,Credit Card
12,173,2024-08-24,397,Credit Card
13,2131,2024-06-25,403,UPI
14,1600,2023-02-12,610,Credit Card
15,112,2023-01-31,377,Net Banking
16,298,2022-11-25,680,Debit Card
17,410,2024-09-02,388,Debit Card
18,1041,2024-07-08,473,UPI
19,214,2024-04-17,519,Debit Card
20,1787,2023-08-09,354,Net Banking
21,2566,2024-05-17,547,Net Banking
22,2300,2023-10-22,372,Debit Card
23,2149,2024-05-01,434,UPI
24,166,2022-04-29,422,UPI
25,2272,2022-01-06,569,Net Banking
26,795,2022-12-17,451,Debit Card
27,1954,2024-06-02,640,Debit Card
28,1669,2022-02-17,407,Debit Card
29,2643,2023-01-19,613,Credit Card
30,219,2022-04-15,640,UPI
31,1850,2023-12-09,654,Credit Card
32,2481,2024-04-21,323,UPI
33,2313,2023-08-18,661,Credit Card
34,1186,2022-10-20,592,Debit Card
35,65,2024-01-02,530,UPI
36,2388,2024-04-06,383,Net Banking
37,2449,2023-12-25,592,Net Banking
38,2558,2023-08-10,491,UPI
39,2264,2023-10-20,608,Net Banking
40,368,2024-06-29,566,UPI
41,595,2023-07-03,486,Net Banking
42,2609,2024-09-01,590,Debit Card
43,602,2022-12-05,588,Credit Card
44,1206,2022-01-22,694,UPI
45,2333,2023-09-26,398,Debit Card
46,780,2022-04-21,393,Debit Card
47,1206,2024-03-10,371,Net Banking
48,1656,2023-08-01,585,Credit Card
49,1671,2023-09-30,657,Credit Card
50,2286,2023-04-30,378,Net Banking
51,2623,2022-05-01,533,Net Banking
52,126,2023-10-20,525,Debit Card
53,885,2022-11-13,586,Debit Card
54,2130,2023-09-14,411,UPI
55,2745,2023-11-10,607,UPI
56,2664,2022-09-07,565,Debit Card
57,2693,2024-07-07,586,Credit Card
58,1167,2024-04-27,300,UPI
59,1670,2024-06-27,638,Credit Card
60,584,2024-07-12,654,Net Banking
61,1399,2022-01-31,580,Debit Card
62,1664,2023-08-28,689,UPI
63,2231,2023-11-24,374,Net Banking
64,2708,2022-09-30,346,Net Banking
65,2347,2023-01-23,475,Net Banking
66,2582,2022-03-16,409,Credit Card
67,2302,2023-05-09,517,Credit Card
68,2753,2024-04-30,650,Debit Card
69,780,2024-04-06,569,UPI
70,2341,2022-12-11,683,Credit Card
71,1032,2024-05-13,397,UPI
72,1633,2023-07-09,375,Debit Card
73,2407,2024-03-26,694,UPI
74,2085,2022-10-06,619,Credit Card
75,121,2024-05-02,383,Net Banking
76,917,2022-01-02,302,Net Banking
77,2460,2023-02-05,498,Credit Card
78,226,2022-04-30,689,Net Banking
79,2064,2022-07-26,337,Credit Card
80,2738,2022-07-17,612,UPI
81,105,2022-02-19,332,Net Banking
82,2162,2022-02-27,612,UPI
83,329,2022-10-28,621,Credit Card
84,1317,2022-02-25,531,Net Banking
