subscription_id,customer_id,plan_type,monthly_fee,start_date,end_date,status
1,1755,Standard,499,2024-03-05,2025-02-15,Active
2,1477,Basic,299,2023-11-06,2024-09-06,Cancelled
3,389,Premium,699,2023-12-01,2024-09-10,Cancelled
4,316,Premium,699,2022-10-17,2023-04-30,Active
5,660,Basic,299,2022-04-09,2023-01-31,Active
6,90,Basic,299,2022-07-02,2022-08-17,Active
7,995,Basic,299,2022-04-12,2022-05-28,Active
8,1713,Standard,499,2023-11-05,2024-08-11,Active
9,1437,Premium,699,2022-09-20,2022-11-14,Active
10,1241,Premium,699,2022-03-14,2022-04-19,Cancelled
11,428,Premium,699,2023-05-19,2023-07-28,Active
12,1309,Basic,299,2023-01-05,2023-11-16,Cancelled
13,1824,Standard,499,2024-04-21,2024-11-25,Cancelled
14,120,Premium,699,2022-09-30,2023-07-27,Active
15,145,Standard,499,2022-03-21,2022-08-08,Cancelled
16,199,Basic,299,2024-01-13,2024-06-09,Active
17,389,Basic,299,2023-06-23,2023-11-27,Active
18,1941,Basic,299,2023-07-26,2024-06-05,Active
19,217,Premium,699,2023-08-14,2024-03-14,Active
20,1439,Premium,699,2023-03-14,2023-06-05,Active
21,370,Premium,699,2023-02-16,2023-12-01,Active
22,324,Premium,699,2023-09-07,2024-05-20,Cancelled
23,1849,Standard,499,2023-07-18,2024-01-30,Cancelled
24,845,Premium,699,2023-03-17,2023-09-28,Active
25,1154,Premium,699,2022-08-08,2023-03-18,Cancelled
26,1897,Premium,699,2022-09-18,2023-04-20,Cancelled
27,917,Standard,499,2022-01-01,2022-02-17,Cancelled
28,1221,Basic,299,2023-06-15,2023-09-22,Cancelled
29,619,Basic,299,2022-11-04,2023-03-27,Active
30,645,Basic,299,2024-03-01,2024-08-19,Cancelled
31,1048,Premium,699,2023-08-08,2024-06-25,Active
32,78,Standard,499,2022-12-31,2023-04-19,Active
33,752,Premium,699,2022-09-13,2023-02-09,Active
34,616,Basic,299,2023-08-08,2024-03-29,Active
35,446,Premium,699,2022-03-21,2022-10-03,Cancelled
36,355,Standard,499,2024-04-25,2025-03-16,Cancelled
37,196,Premium,699,2023-10-20,2024-04-20,Active
38,1656,Premium,699,2023-01-26,2023-04-06,Cancelled
39,1888,Standard,499,2022-12-23,2023-09-01,Active
40,1778,Basic,299,2024-06-09,2024-11-02,Cancelled
41,1740,Premium,699,2024-08-08,2024-09-12,Active
42,1295,Standard,499,2022-02-25,2022-08-30,Active
43,654,Premium,699,2023-08-02,2023-11-16,Active
44,1430,Basic,299,2022-06-06,2022-07-31,Active
45,805,Standard,499,2024-02-10,2025-01-09,Active
46,185,Basic,299,2023-03-19,2023-09-13,Cancelled
47,304,Basic,299,2022-12-11,2023-02-21,Active
48,1527,Basic,299,2023-07-16,2024-03-06,Active
49,817,Premium,699,2023-03-21,2023-06-25,Cancelled
50,985,Premium,699,2022-07-22,2023-04-27,Active
51,1171,Basic,299,2023-07-29,2024-07-08,Cancelled
52,1074,Basic,299,2022-09-06,2022-11-11,Active
53,881,Standard,499,2023-12-03,2024-10-22,Active
54,1376,Standard,499,2023-03-10,2023-10-13,Active
55,657,Standard,499,2023-09-01,2024-08-31,Active
56,625,Basic,299,2022-12-25,2023-12-05,Cancelled
57,1645,Standard,499,2023-10-01,2024-01-13,Active
58,1893,Basic,299,2022-07-24,2023-03-02,Active
59,1492,Basic,299,2022-04-26,2022-06-22,Active
60,1272,Basic,299,2024-06-08,2024-12-02,Active
61,1421,Basic,299,2022-11-09,2023-07-27,Active
62,680,Basic,299,2024-01-28,2024-11-28,Active
63,1120,Premium,699,2024-02-08,2024-07-19,Active
64,1276,Premium,699,2022-05-25,2022-07-03,Active
65,1856,Premium,699,2023-06-24,2023-08-15,Active
66,124,Standard,499,2022-07-25,2023-07-06,Active
67,953,Premium,699,2024-08-25,2024-09-28,Active
68,1353,Standard,499,2023-11-10,2024-06-11,Cancelled
