watch_id,customer_id,content_type,genre,watch_time_minutes,watch_date
1,1732,Series,Drama,111,2024-03-26
2,82,Series,Action,171,2022-07-01
3,1336,Series,Thriller,83,2023-06-10
4,1691,Series,Sci-Fi,124,2023-10-01
5,1072,Movie,Action,69,2022-06-22
6,946,Movie,Romance,40,2024-06-30
7,677,Movie,Drama,162,2024-03-14
8,1693,Movie,Drama,44,2023-08-12
9,929,Movie,Comedy,75,2022-02-08
10,230,Series,Romance,73,2023-07-18
11,1401,Series,Thriller,104,2022-10-26
12,481,Movie,Romance,147,2023-02-16
13,1613,Series,Comedy,163,2022-10-02
14,931,Movie,Action,131,2024-04-13
15,1289,Movie,Sci-Fi,79,2024-02-11
16,878,Movie,Thriller,115,2023-09-06
17,1712,Movie,Thriller,99,2023-01-04
18,1308,Series,Sci-Fi,14,2022-10-14
19,1704,Series,Romance,72,2023-07-07
20,1010,Series,Action,13,2024-06-14
21,1519,Series,Sci-Fi,128,2024-09-19
22,65,Movie,Sci-Fi,58,2022-04-29
23,909,Movie,Action,171,2024-06-18
24,160,Movie,Comedy,160,2023-12-25
25,1025,Movie,Comedy,59,2022-08-03
26,485,Movie,Comedy,117,2023-08-18
27,862,Series,Action,39,2022-02-19
28,171,Series,Thriller,17,2022-04-03
29,1816,Movie,Drama,93,2022-07-10
30,15,Series,Drama,54,2024-04-08
31,1991,Series,Action,155,2022-08-01
32,159,Series,Sci-Fi,80,2022-05-14
33,1558,Series,Thriller,68,2022-08-25
34,240,Series,Action,84,2022-02-23
35,1852,Movie,Drama,36,2022-01-08
36,131,Series,Action,124,2022-05-04
37,1234,Series,Comedy,129,2024-08-01
38,1513,Series,Action,95,2024-02-20
39,226,Series,Action,151,2022-03-17
40,1225,Movie,Action,95,2023-02-27
41,1580,Series,Drama,173,2023-01-02
42,323,Series,Drama,103,2023-09-05
43,756,Movie,Thriller,120,2022-09-02
44,741,Movie,Comedy,38,2022-09-03
45,1336,Movie,Drama,57,2024-04-05
46,1902,Series,Thriller,35,2022-02-25
47,813,Series,Comedy,118,2022-01-23
48,346,Series,Romance,52,2024-09-17
49,396,Series,Thriller,122,2023-03-31
50,589,Movie,Sci-Fi,87,2023-08-17
51,90,Series,Thriller,31,2023-05-26
52,691,Movie,Drama,42,2024-01-01
53,1016,Series,Sci-Fi,99,2022-06-17
54,807,Movie,Comedy,144,2023-04-21
55,1934,Movie,Thriller,151,2024-06-01
56,511,Movie,Thriller,37,2022-11-21
57,1774,Movie,Action,27,2022-09-22
58,333,Series,Action,50,2022-10-27
59,1438,Series,Comedy,88,2024-09-16
60,853,Series,Drama,29,2024-07-26
61,1378,Movie,Thriller,29,2024-08-03
62,1518,Series,Sci-Fi,77,2022-04-05
63,1175,Movie,Sci-Fi,114,2023-02-16
64,1223,Series,Comedy,91,2023-11-02
65,110,Series,Thriller,11,2022-07-16
66,521,Movie,Action,176,2024-03-25
67,186,Series,Thriller,32,2023-04-18
68,60,Series,Action,62,2023-10-28
69,1796,Movie,Action,36,2023-11-20
70,258,Series,Drama,146,2022-08-15
71,1756,Movie,Sci-Fi,143,2023-10-09
72,1697,Movie,Thriller,51,2022-01-31
73,1921,Movie,Comedy,130,2023-08-25
74,780,Series,Thriller,76,2022-01-13
75,63,Movie,Romance,26,2023-11-13
76,1587,Series,Comedy,43,2024-03-10
77,817,Movie,Sci-Fi,122,2023-07-21
78,1680,Movie,Comedy,29,2022-05-06
79,863,Series,Drama,79,2024-02-20
80,1411,Movie,Comedy,179,2023-12-26
81,1726,Movie,Action,74,2024-06-18
82,969,Series,Comedy,178,2023-02-10
83,1931,Series,Drama,80,2024-07-20
84,1542,Movie,Drama,68,2024-09-02
85,1727,Movie,Sci-Fi,118,2024-07-05
86,1807,Series,Drama,28,2024-03-26
87,163,Series,Romance,76,2023-02-14
88,113,Movie,Romance,162,2024-04-08
89,713,Movie,Sci-Fi,96,2023-09-21
90,305,Movie,Comedy,118,2023-02-05
91,653,Movie,Action,136,2022-10-21
92,870,Series,Comedy,58,2024-02-19
93,1896,Movie,Action,120,2024-02-10
94,1774,Series,Romance,90,2022-01-10
95,881,Movie,Comedy,175,2024-04-21
96,590,Movie,Action,64,2023-05-03
97,1902,Movie,Drama,174,2023-11-22
98,596,Series,Sci-Fi,71,2023-10-10
99,216,Movie,Thriller,149,2023-09-05
100,1737,Movie,Sci-Fi,133,2023-07-03
101,878,Series,Thriller,106,2022-02-24
102,229,Movie,Action,80,2022-04-20
103,1425,Series,Sci-Fi,81,2023-10-17
104,581,Series,Comedy,137,2022-09-04
105,488,Series,Sci-Fi,67,2023-01-16
106,1341,Series,Drama,120,2024-02-17
107,1235,Series,Action,34,2023-11-12
108,874,Series,Drama,102,2024-05-06
109,495,Movie,Sci-Fi,133,2024-03-27
110,1767,Series,Action,75,2022-01-05
111,1629,Movie,Thriller,14,2022-03-26
112,1868,Movie,Romance,93,2023-09-29
113,815,Series,Comedy,174,2022-01-19
114,1511,Series,Drama,154,2022-01-22
115,671,Series,Action,163,2022-12-25
116,990,Movie,Romance,27,2023-06-28
117,547,Series,Sci-Fi,49,2023-02-04
118,816,Movie,Thriller,62,2024-01-29
119,1800,Movie,Comedy,29,2023-03-13
120,1925,Movie,Action,162,2022-12-21
121,1766,Series,Action,172,2024-04-29
122,1906,Series,Drama,134,2023-06-10
123,1324,Movie,Romance,146,2024-01-24
124,1527,Movie,Thriller,138,2024-03-29
125,413,Movie,Action,48,2024-09-10
126,1368,Movie,Thriller,159,2022-12-07
127,1235,Movie,Romance,48,2024-03-08
128,1692,Movie,Drama,71,2024-09-05
129,167,Movie,Comedy,109,2023-05-13
